match_id,source,target,weight,raw_score_team1_minus_team2,date,stage,possession_z_diff,total attempts_z_diff,on target attempts_z_diff,attempts inside the penalty area_z_diff,passes completed_z_diff,corners_z_diff,completed line breaks_z_diff,completed defensive line breaks_z_diff,forced turnovers_z_diff,defensive pressures applied_z_diff
1,ECUADOR,QATAR,0.39570481238025634,-0.39570481238025634,20 NOV 2022,Group A,-0.33901159591211305,-0.11407945911669924,-0.742831383446331,-0.3100528113133099,-0.0987544488349838,-0.4603601794247855,-0.24757029315924342,-0.3448421798914078,-1.1434863063396903,-0.1560594663639992
2,ENGLAND,IRAN,0.9817993022602927,0.9817993022602927,21 NOV 2022,Group B,2.2459518229177493,0.5703972955834962,0.990441844595108,0.6201056226266198,2.031520090319667,1.841440717699142,2.5328345377061057,1.3793687195656312,-0.5145688378528606,-1.8794987905577294
3,SENEGAL,NETHERLANDS,0.03438590096799879,0.03438590096799879,21 NOV 2022,Group A,-0.04237644948901413,0.5703972955834962,0.0,0.3100528113133099,-0.2151436206762147,-0.23018008971239276,-0.1333070809319003,0.5747369664856796,-0.5717431531698451,0.08142233027686914
4,UNITED STATES,WALES,0.26664436069987546,0.26664436069987546,21 NOV 2022,Group B,0.5085173938681696,-0.11407945911669924,-0.495220922297554,-0.15502640565665496,0.6630655850348912,0.4603601794247855,0.818886354295959,0.8046317530799515,0.5145688378528606,-0.3392597094869548
5,ARGENTINA,SAUDI ARABIA,0.8824011715440463,0.8824011715440463,22 NOV 2022,Group C,1.6950579795605654,1.2548740502836915,0.990441844595108,1.0851848395965846,1.195634219823554,1.6112606279867494,1.123588253568874,2.0690530793484467,-0.8576147297547677,-1.3434684495683409
6,DENMARK,TUNISIA,0.4488502378254305,0.4488502378254305,22 NOV 2022,Group D,0.932281888758311,0.0,0.742831383446331,0.15502640565665496,0.7794547568761221,0.4603601794247855,0.9712373039324165,0.6896843597828156,0.17152294595095352,-0.41389684557408485
7,MEXICO,POLAND,0.5069431713238916,0.5069431713238916,22 NOV 2022,Group C,0.9746583382473251,0.5703972955834962,0.742831383446331,0.4650792169699649,0.6383769728261453,0.23018008971239276,0.6665354046595016,1.9541056860513109,-0.5145688378528606,-0.6581638364046922
8,FRANCE,AUSTRALIA,1.2763294340785096,1.2763294340785096,22 NOV 2022,Group D,0.8899054392692968,2.0534302641005864,1.485662766892662,2.4804224905064793,0.962855876141092,1.6112606279867494,0.9712373039324165,2.2989478659427185,0.4573945225358761,-0.4478228165227803
9,CROATIA,MOROCCO,0.16049098807259277,-0.16049098807259277,23 NOV 2022,Group F,-1.0594112372253535,0.22815891823339848,0.0,-0.15502640565665496,-1.0651372695773254,-1.1509004485619638,-0.6665354046595016,-0.5747369664856796,1.6580551441925508,1.1806237890146025
10,GERMANY,JAPAN,0.688799194349279,0.688799194349279,23 NOV 2022,Group E,1.8221873280276077,1.7111918867504885,1.485662766892662,0.7751320282832748,1.8904423062696898,0.0,2.1900449010240766,1.0345265396742234,-1.8295780901435044,-2.1916177232857277
11,SPAIN,COSTA RICA,1.3354508970313912,1.3354508970313912,23 NOV 2022,Group E,2.4154576208738057,1.939350804983887,1.733273228041439,1.8603168678798596,2.937944852840768,1.1509004485619638,3.332677023297508,2.4138952592398546,-1.7152294595095354,-2.714077675895638
12,CANADA,BELGIUM,0.24390744102522213,-0.24390744102522213,23 NOV 2022,Group F,0.1271293484670424,-1.3689535094003908,-0.247610461148777,-1.5502640565665495,0.201035842271217,0.0,-0.09521934352278594,-0.8046317530799515,1.5437065135585817,-0.24426699083060743
13,SWITZERLAND,CAMEROON,0.19513145301816381,0.19513145301816381,24 NOV 2022,Group G,-0.1271293484670424,0.11407945911669924,0.0,0.0,0.04585027981624248,1.3810805382743565,0.38087737409114375,1.0345265396742234,-0.8576147297547677,-0.020355582569217285
14,URUGUAY,KOREA REPUBLIC,0.29251895853078447,0.29251895853078447,24 NOV 2022,Group H,0.4661409443791555,0.45631783646679697,0.0,0.9301584339399298,0.41970640754868116,0.23018008971239276,-0.15235094963645748,-0.11494739329713594,0.6289174684868296,0.06106674770765186
15,PORTUGAL,GHANA,0.514471557996433,0.514471557996433,24 NOV 2022,Group H,0.8475289897802827,0.3422383773500977,0.495220922297554,0.7751320282832748,0.8711553165086071,0.0,1.1616759909779883,1.609263506159903,-0.6860917838038141,-0.2714077675895638
16,BRAZIL,SERBIA,0.8869715756783603,0.8869715756783603,24 NOV 2022,Group G,0.8051525402912686,2.2815891823339847,2.47610461148777,1.5502640565665495,0.6524847512311429,0.4603601794247855,0.818886354295959,0.45978957318854374,0.05717431531698451,-0.6920898073533878
17,IRAN,WALES,0.1971394691700143,-0.1971394691700143,25 NOV 2022,Group B,0.7627760908022544,-1.2548740502836915,-0.742831383446331,-0.3100528113133099,0.7441853108636279,-1.1509004485619638,0.7046231420686159,-0.22989478659427187,0.28587157658492257,-0.7802973318199959
18,SENEGAL,QATAR,0.21005005177881783,-0.21005005177881783,25 NOV 2022,Group A,-0.2542586969340848,-0.22815891823339848,-0.495220922297554,-0.9301584339399298,-0.3244789033149468,-0.23018008971239276,0.07617547481822874,-0.22989478659427187,0.0,0.5156747584201713
19,ECUADOR,NETHERLANDS,0.18030251153601828,-0.18030251153601828,25 NOV 2022,Group A,0.3813880454011272,-1.2548740502836915,-0.990441844595108,-1.2402112452532397,0.37385612773243865,-0.6905402691371783,0.5903599298412728,-0.6896843597828156,1.886752405460489,-0.1696298547434774
20,ENGLAND,UNITED STATES,0.060190555085850236,0.060190555085850236,25 NOV 2022,Group B,0.4661409443791555,-0.22815891823339848,0.247610461148777,0.0,0.4232333521499306,-0.920720358849571,1.123588253568874,0.5747369664856796,-0.5145688378528606,-0.569956311938084
21,TUNISIA,AUSTRALIA,0.341269290046716,0.341269290046716,26 NOV 2022,Group D,0.8051525402912686,0.5703972955834962,0.495220922297554,0.6201056226266198,0.5537303023961592,0.6905402691371783,0.3427896366820294,0.11494739329713594,-0.40022020721889157,-0.37997087462538937
22,SAUDI ARABIA,POLAND,0.3992558288949275,-0.3992558288949275,26 NOV 2022,Group C,-1.1441641362033816,-0.9126356729335939,-0.495220922297554,-0.15502640565665496,-0.9099517071223507,-0.23018008971239276,-1.3140269406144458,-0.8046317530799515,0.9147890450717522,1.0584902935992988
23,FRANCE,DENMARK,0.4365900047206471,0.4365900047206471,26 NOV 2022,Group D,0.0,1.2548740502836915,0.990441844595108,1.7052904622232046,-0.12697000564497918,0.4603601794247855,-0.514184455023044,-0.3448421798914078,1.0291376757057211,-0.08820752446660825
24,ARGENTINA,MEXICO,0.1201302705195371,0.1201302705195371,26 NOV 2022,Group C,0.5932702928461979,0.11407945911669924,0.247610461148777,0.15502640565665496,0.6242691944211476,0.4603601794247855,0.6474915359549444,0.0,-0.9147890450717522,-0.7260157783020832
25,JAPAN,COSTA RICA,0.4538177355182489,0.4538177355182489,27 NOV 2022,Group E,0.3813880454011272,1.1407945911669923,0.495220922297554,0.9301584339399298,0.4902452995736696,1.1509004485619638,0.19043868704557187,0.8046317530799515,-1.0863119910227057,0.04071116513843457
26,BELGIUM,MOROCCO,0.0026178962772297255,0.0026178962772297255,27 NOV 2022,Group F,1.0170347877363393,-0.11407945911669924,0.0,-0.15502640565665496,1.139203106203563,1.841440717699142,0.2856580305683578,-0.5747369664856796,-2.2869726126793806,-1.1263422354966899
27,CROATIA,CANADA,0.5186692404871631,0.5186692404871631,27 NOV 2022,Group F,-0.21188224744507067,0.45631783646679697,1.980883689190216,1.0851848395965846,-0.15165861785372511,0.6905402691371783,-0.19043868704557187,0.45978957318854374,0.8576147297547677,0.21034101988191195
28,SPAIN,GERMANY,0.08682076355345399,0.08682076355345399,27 NOV 2022,Group E,0.9746583382473251,-0.3422383773500977,-0.247610461148777,-0.6201056226266198,1.0016522667548358,0.23018008971239276,1.1997637283871028,0.6896843597828156,-1.2578349369736592,-0.7599417492507787
29,SERBIA,CAMEROON,0.1341932835124876,-0.1341932835124876,28 NOV 2022,Group G,-0.4661409443791555,-0.3422383773500977,0.495220922297554,-0.3100528113133099,-0.5713650254024063,0.23018008971239276,-0.8379302230005162,0.0,0.11434863063396902,0.3460449036766939
30,KOREA REPUBLIC,GHANA,0.79399542501709,0.79399542501709,28 NOV 2022,Group H,0.8899054392692968,1.48303296851709,0.742831383446331,1.2402112452532397,0.7653469784711244,1.6112606279867494,1.5615972337736894,1.609263506159903,-1.2578349369736592,-0.705660195732866
31,BRAZIL,SWITZERLAND,0.5274768470563673,0.5274768470563673,28 NOV 2022,Group G,0.4661409443791555,0.5703972955834962,1.238052305743885,0.6201056226266198,0.292736401903702,1.1509004485619638,0.2666141618638006,0.8046317530799515,0.28587157658492257,-0.4206820397638239
32,PORTUGAL,URUGUAY,0.11908557510223447,0.11908557510223447,28 NOV 2022,Group H,0.7627760908022544,0.45631783646679697,0.247610461148777,-0.3100528113133099,0.7441853108636279,0.920720358849571,0.49514058631848684,-0.45978957318854374,-0.7432660991207987,-0.922786409804517
33,NETHERLANDS,QATAR,0.6053405617816391,0.6053405617816391,29 NOV 2022,Group A,0.6780231918242261,0.7985562138168947,0.0,1.2402112452532397,1.2203228320322999,0.4603601794247855,1.1045443848643168,0.0,0.5717431531698451,-0.020355582569217285
34,SENEGAL,ECUADOR,0.3128955676468236,-0.3128955676468236,29 NOV 2022,Group A,0.8051525402912686,-0.7985562138168947,-0.247610461148777,-0.9301584339399298,0.5466764131936603,-0.6905402691371783,-0.1333070809319003,-1.1494739329713592,-0.17152294595095352,-0.35961529205617204
35,ENGLAND,WALES,0.9202076782158871,-0.9202076782158871,29 NOV 2022,Group B,-1.0594112372253535,-1.1407945911669923,-1.485662766892662,-1.8603168678798596,-0.9452211531348449,-1.1509004485619638,-1.4473340215463462,-0.8046317530799515,-0.40022020721889157,1.0924162645479945
36,UNITED STATES,IRAN,0.5246506082908949,-0.5246506082908949,29 NOV 2022,Group B,-0.1271293484670424,-0.6844767547001954,-0.742831383446331,-0.4650792169699649,-0.11991611644248033,-0.920720358849571,-0.5903599298412728,-0.9195791463770875,-0.6289174684868296,-0.04749635932817367
37,DENMARK,AUSTRALIA,0.620993101359479,-0.620993101359479,30 NOV 2022,Group D,-1.5255521816045088,-0.6844767547001954,0.247610461148777,-1.2402112452532397,-1.34023894847478,-0.920720358849571,-1.732992052114704,-1.1494739329713592,0.9147890450717522,1.2213349541530372
38,FRANCE,TUNISIA,0.22113345650394306,-0.22113345650394306,30 NOV 2022,Group D,-1.1017876867143674,-0.45631783646679697,0.0,-0.3100528113133099,-1.0580833803748264,-0.23018008971239276,-0.05713160611367156,0.3448421798914078,-0.6860917838038141,1.3434684495683409
39,ARGENTINA,POLAND,1.5465025150008116,-1.5465025150008116,30 NOV 2022,Group C,-1.8221873280276077,-2.395668641450684,-3.218935994934101,-2.9455017074764442,-1.95040036449093,-1.841440717699142,-2.3233519819559767,-2.0690530793484467,1.0863119910227057,2.0152026743525115
40,MEXICO,SAUDI ARABIA,0.8831977884278638,-0.8831977884278638,30 NOV 2022,Group C,-1.1017876867143674,-1.7111918867504885,-1.980883689190216,-0.6201056226266198,-0.4902452995736696,-1.6112606279867494,-0.6665354046595016,-1.2644213262684951,0.34304589190190704,0.2714077675895638
41,BELGIUM,CROATIA,0.07815558082540588,-0.07815558082540588,01 DEC 2022,Group F,-0.16950579795605653,-0.45631783646679697,0.0,-0.7751320282832748,-0.09522750423373438,-0.4603601794247855,0.8379302230005162,0.3448421798914078,0.11434863063396902,-0.12213349541530372
42,CANADA,MOROCCO,0.06614279193964122,0.06614279193964122,01 DEC 2022,Group F,0.6780231918242261,-0.22815891823339848,-0.495220922297554,0.0,0.5784189146049051,0.920720358849571,0.11426321222734312,0.11494739329713594,-0.34304589190190704,-0.6785194189739095
43,SPAIN,JAPAN,0.4977725988697392,-0.4977725988697392,01 DEC 2022,Group E,-2.7120927672969044,-0.9126356729335939,-0.495220922297554,-0.4650792169699649,-2.909729296030773,-0.4603601794247855,-1.5806411024782465,-0.8046317530799515,2.0582753514114422,3.3043895704029396
44,GERMANY,COSTA RICA,1.4556713265541095,-1.4556713265541095,01 DEC 2022,Group E,-1.3984228331374664,-2.7379070188007817,-1.238052305743885,-2.7904753018197894,-1.382562283689773,-2.992341166261106,-1.0664566474552024,-2.0690530793484467,0.11434863063396902,1.0042087400813862
45,URUGUAY,GHANA,0.1636578497421976,-0.1636578497421976,02 DEC 2022,Group H,0.29663514642309896,-0.3422383773500977,-0.742831383446331,-0.4650792169699649,0.056431113619990744,0.6905402691371783,-0.24757029315924342,-1.0345265396742234,0.4573945225358761,-0.3053337385382593
46,PORTUGAL,KOREA REPUBLIC,0.11369957960706183,-0.11369957960706183,02 DEC 2022,Group H,-0.8899054392692968,0.0,0.495220922297554,0.15502640565665496,-0.8358858704961128,0.23018008971239276,-0.6855792733640588,-0.6896843597828156,0.22869726126793805,0.854934467907126
47,SWITZERLAND,SERBIA,0.08721296203976589,-0.08721296203976589,02 DEC 2022,Group G,0.16950579795605653,-0.3422383773500977,-0.742831383446331,0.0,0.2292513990812124,0.4603601794247855,0.0,-0.3448421798914078,-0.4573945225358761,0.1560594663639992
48,BRAZIL,CAMEROON,0.6519107350498927,-0.6519107350498927,02 DEC 2022,Group G,-1.0594112372253535,-1.3689535094003908,-0.742831383446331,-1.3952376509098947,-0.8887900395148541,-1.841440717699142,-1.009325041341531,-0.22989478659427187,1.3721835676076282,0.6445934480252141
49,UNITED STATES,NETHERLANDS,0.3274829471095641,-0.3274829471095641,03 DEC 2022,Round of 16,-0.8899054392692968,-0.7985562138168947,-0.247610461148777,-0.6201056226266198,-0.5889997484086533,-0.23018008971239276,-0.5903599298412728,-1.1494739329713592,1.3721835676076282,0.4681783990919976
50,ARGENTINA,AUSTRALIA,0.33535590941214455,0.33535590941214455,03 DEC 2022,Round of 16,0.7627760908022544,1.0267151320502932,0.742831383446331,1.2402112452532397,0.8958439287173531,-0.4603601794247855,0.818886354295959,0.11494739329713594,-0.34304589190190704,-1.4452463624144274
51,FRANCE,POLAND,0.41979254038798575,0.41979254038798575,04 DEC 2022,Round of 16,0.2542586969340848,0.5703972955834962,0.990441844595108,0.3100528113133099,0.31742501411244795,1.3810805382743565,0.2666141618638006,0.22989478659427187,0.40022020721889157,-0.5224599526099104
52,ENGLAND,SENEGAL,0.21068602550413154,0.21068602550413154,04 DEC 2022,Round of 16,0.8051525402912686,-0.22815891823339848,0.495220922297554,0.4650792169699649,0.7159697540536325,0.0,0.818886354295959,0.5747369664856796,-0.8004404144377831,-0.7395861666815614
53,CROATIA,JAPAN,0.17959449908024738,-0.17959449908024738,05 DEC 2022,Round of 16,-0.6780231918242261,-0.45631783646679697,0.0,-0.6201056226266198,-0.7406583662623785,0.6905402691371783,-0.30470189927291497,-0.3448421798914078,0.0,0.6581638364046922
54,BRAZIL,KOREA REPUBLIC,0.3410753779287006,0.3410753779287006,05 DEC 2022,Round of 16,0.1271293484670424,0.9126356729335939,0.742831383446331,1.2402112452532397,0.2468861220874595,0.23018008971239276,0.15235094963645748,0.3448421798914078,-0.4573945225358761,-0.12891868960504282
55,SPAIN,MOROCCO,0.6477997222532839,-0.6477997222532839,06 DEC 2022,Round of 16,-1.9493166764946501,-0.7985562138168947,0.495220922297554,-0.9301584339399298,-2.602885115722073,-1.841440717699142,-1.3711585467281175,-1.839158292754175,1.9439267207774733,2.415529131547118
56,PORTUGAL,SWITZERLAND,0.43996229939279197,0.43996229939279197,06 DEC 2022,Round of 16,-0.21188224744507067,0.45631783646679697,1.980883689190216,0.6201056226266198,-0.15518556245497453,0.0,-0.1713948183410147,0.11494739329713594,0.9719633603887367,0.7938677201994742
57,BRAZIL,CROATIA,0.3953010581739143,-0.3953010581739143,09 DEC 2022,Quarter-final,0.0,-1.2548740502836915,-2.47610461148777,-1.0851848395965846,0.02468861220874595,-0.920720358849571,1.123588253568874,0.0,1.0291376757057211,-0.3935412630048675
58,ARGENTINA,NETHERLANDS,0.247996079055763,-0.247996079055763,09 DEC 2022,Quarter-final,0.04237644948901413,-1.1407945911669923,-0.990441844595108,-0.3100528113133099,0.1622394516574734,-1.3810805382743565,0.15235094963645748,-0.22989478659427187,0.6860917838038141,0.5292451467996494
59,PORTUGAL,MOROCCO,0.4070956685769313,-0.4070956685769313,10 DEC 2022,Quarter-final,-1.8221873280276077,-0.22815891823339848,0.0,-0.3100528113133099,-1.4848436771260065,-1.3810805382743565,-1.0474127787506453,-1.7242108994570389,2.5156698739473184,1.411320391465732
60,ENGLAND,FRANCE,0.2339324315635427,0.2339324315635427,10 DEC 2022,Quarter-final,0.7627760908022544,0.5703972955834962,0.247610461148777,0.0,0.5043530779786672,0.6905402691371783,0.3999212427957009,0.22989478659427187,-0.28587157658492257,-0.7802973318199959
61,ARGENTINA,CROATIA,0.051709176191205256,0.051709176191205256,13 DEC 2022,Semi-final,-0.8475289897802827,-0.22815891823339848,0.990441844595108,0.15502640565665496,-0.7300775324586303,-0.4603601794247855,-0.7236670107731731,0.6896843597828156,1.2578349369736592,0.41389684557408485
62,FRANCE,MOROCCO,0.0757973079905712,0.0757973079905712,14 DEC 2022,Semi-final,-0.8899054392692968,0.11407945911669924,0.247610461148777,0.6201056226266198,-0.7441853108636279,-0.23018008971239276,-0.19043868704557187,-0.3448421798914078,1.4293578829246127,0.7463713608713005
63,CROATIA,MOROCCO,0.3331119528971535,0.3331119528971535,17 DEC 2022,Play-off for third place,0.0,0.7985562138168947,0.495220922297554,0.3100528113133099,0.007053889202498843,0.6905402691371783,0.3237457679774722,0.45978957318854374,0.17152294595095352,0.07463713608713005
64,ARGENTINA,FRANCE,0.4387993241583216,0.4387993241583216,18 DEC 2022,Final,0.2542586969340848,1.2548740502836915,0.990441844595108,0.4650792169699649,0.44086807515617765,0.23018008971239276,0.9902811726369737,1.609263506159903,-0.9719633603887367,-0.8752900504763433
