match_id,team,opponent,date,hour,stage,stage_order,goals_for,goals_against,goal_diff,result,points,possession,total attempts,on target attempts,attempts inside the penalty area,attempts outside the penalty area,passes,passes completed,crosses,crosses completed,switches of play completed,corners,attempted line breaks,completed line breaks,attempted defensive line breaks,completed defensive line breaks,forced turnovers,defensive pressures applied,pass_completion_rate,cross_completion_rate,shot_accuracy,goals_per_attempt,goals_per_on_target,goals_per_completed_pass
1,QATAR,ECUADOR,20 NOV 2022,17 : 00,Group A,1,0,2,-2,L,0,42.0,5.0,0.0,2.0,3.0,450.0,381.0,9.0,4.0,9.0,1.0,136.0,86.0,9.0,4.0,52.0,256.0,0.8466666666666667,0.4444444444444444,0.0,0.0,0.0,0.0
1,ECUADOR,QATAR,20 NOV 2022,17 : 00,Group A,1,2,0,2,W,3,50.0,6.0,3.0,4.0,2.0,480.0,409.0,14.0,4.0,9.0,3.0,155.0,99.0,13.0,7.0,72.0,279.0,0.8520833333333333,0.2857142857142857,0.5,0.3333333333333333,0.6666666666666666,0.004889975550122249
2,ENGLAND,IRAN,21 NOV 2022,14 : 00,Group B,1,6,2,4,W,3,72.0,13.0,7.0,10.0,3.0,809.0,730.0,23.0,7.0,12.0,8.0,238.0,178.0,25.0,16.0,63.0,139.0,0.9023485784919654,0.30434782608695654,0.5384615384615384,0.46153846153846156,0.8571428571428571,0.00821917808219178
2,IRAN,ENGLAND,21 NOV 2022,14 : 00,Group B,1,2,6,-4,L,0,19.0,8.0,3.0,6.0,2.0,224.0,154.0,8.0,1.0,3.0,0.0,101.0,45.0,7.0,4.0,72.0,416.0,0.6875,0.125,0.375,0.25,0.6666666666666666,0.012987012987012988
3,SENEGAL,NETHERLANDS,21 NOV 2022,17 : 00,Group A,1,0,2,-2,L,0,44.0,14.0,3.0,7.0,7.0,383.0,313.0,19.0,7.0,9.0,6.0,151.0,89.0,22.0,15.0,63.0,263.0,0.8172323759791122,0.3684210526315789,0.21428571428571427,0.0,0.0,0.0
3,NETHERLANDS,SENEGAL,21 NOV 2022,17 : 00,Group A,1,2,0,2,W,3,45.0,9.0,3.0,5.0,4.0,438.0,374.0,25.0,8.0,6.0,7.0,162.0,96.0,22.0,10.0,73.0,251.0,0.8538812785388128,0.32,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.0053475935828877
4,UNITED STATES,WALES,21 NOV 2022,20 : 00,Group B,1,1,1,0,D,1,51.0,6.0,1.0,4.0,2.0,569.0,509.0,31.0,4.0,5.0,5.0,199.0,146.0,23.0,15.0,81.0,242.0,0.8945518453427065,0.12903225806451613,0.16666666666666666,0.16666666666666666,1.0,0.0019646365422396855
4,WALES,UNITED STATES,21 NOV 2022,20 : 00,Group B,1,1,1,0,D,1,39.0,7.0,3.0,5.0,2.0,409.0,321.0,15.0,6.0,8.0,3.0,174.0,103.0,17.0,8.0,72.0,292.0,0.784841075794621,0.4,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.003115264797507788
5,ARGENTINA,SAUDI ARABIA,22 NOV 2022,11 : 00,Group C,1,1,2,-1,L,0,64.0,14.0,6.0,10.0,4.0,610.0,529.0,29.0,12.0,5.0,9.0,191.0,127.0,39.0,25.0,65.0,163.0,0.8672131147540983,0.41379310344827586,0.42857142857142855,0.07142857142857142,0.16666666666666666,0.001890359168241966
5,SAUDI ARABIA,ARGENTINA,22 NOV 2022,11 : 00,Group C,1,2,1,1,W,3,24.0,3.0,2.0,3.0,0.0,267.0,190.0,9.0,2.0,7.0,2.0,137.0,68.0,15.0,7.0,80.0,361.0,0.7116104868913857,0.2222222222222222,0.6666666666666666,0.6666666666666666,1.0,0.010526315789473684
6,DENMARK,TUNISIA,22 NOV 2022,14 : 00,Group D,1,0,0,0,D,1,55.0,11.0,4.0,7.0,4.0,594.0,523.0,27.0,10.0,11.0,11.0,190.0,136.0,21.0,12.0,76.0,226.0,0.8804713804713805,0.37037037037037035,0.36363636363636365,0.0,0.0,0.0
6,TUNISIA,DENMARK,22 NOV 2022,14 : 00,Group D,1,0,0,0,D,1,33.0,11.0,1.0,6.0,5.0,387.0,302.0,13.0,3.0,1.0,9.0,174.0,85.0,17.0,6.0,73.0,287.0,0.7803617571059431,0.23076923076923078,0.09090909090909091,0.0,0.0,0.0
7,MEXICO,POLAND,22 NOV 2022,17 : 00,Group C,1,0,0,0,D,1,54.0,13.0,4.0,10.0,3.0,485.0,422.0,33.0,8.0,9.0,6.0,170.0,117.0,32.0,19.0,61.0,193.0,0.8701030927835052,0.24242424242424243,0.3076923076923077,0.0,0.0,0.0
7,POLAND,MEXICO,22 NOV 2022,17 : 00,Group C,1,0,0,0,D,1,31.0,8.0,1.0,7.0,1.0,322.0,241.0,10.0,2.0,1.0,5.0,150.0,82.0,12.0,2.0,70.0,290.0,0.7484472049689441,0.2,0.125,0.0,0.0,0.0
8,FRANCE,AUSTRALIA,22 NOV 2022,20 : 00,Group D,1,4,1,3,W,3,56.0,22.0,7.0,18.0,4.0,734.0,672.0,34.0,17.0,6.0,8.0,173.0,135.0,32.0,27.0,64.0,250.0,0.9155313351498637,0.5,0.3181818181818182,0.18181818181818182,0.5714285714285714,0.005952380952380952
8,AUSTRALIA,FRANCE,22 NOV 2022,20 : 00,Group D,1,1,4,-3,L,0,35.0,4.0,1.0,2.0,2.0,466.0,399.0,9.0,2.0,5.0,1.0,133.0,84.0,15.0,7.0,56.0,316.0,0.8562231759656652,0.2222222222222222,0.25,0.25,1.0,0.002506265664160401
9,MOROCCO,CROATIA,23 NOV 2022,11 : 00,Group F,1,0,0,0,D,1,32.0,8.0,2.0,3.0,5.0,360.0,290.0,10.0,1.0,6.0,0.0,142.0,81.0,10.0,4.0,87.0,391.0,0.8055555555555556,0.1,0.25,0.0,0.0,0.0
9,CROATIA,MOROCCO,23 NOV 2022,11 : 00,Group F,1,0,0,0,D,1,57.0,6.0,2.0,4.0,2.0,667.0,592.0,19.0,4.0,7.0,5.0,169.0,116.0,18.0,9.0,58.0,217.0,0.8875562218890555,0.21052631578947367,0.3333333333333333,0.0,0.0,0.0
10,GERMANY,JAPAN,23 NOV 2022,14 : 00,Group E,1,1,2,-1,L,0,65.0,25.0,9.0,15.0,10.0,820.0,743.0,28.0,9.0,4.0,6.0,241.0,185.0,23.0,20.0,55.0,164.0,0.9060975609756098,0.32142857142857145,0.36,0.04,0.1111111111111111,0.0013458950201884253
10,JAPAN,GERMANY,23 NOV 2022,14 : 00,Group E,1,2,1,1,W,3,22.0,10.0,3.0,10.0,0.0,261.0,207.0,16.0,3.0,2.0,6.0,113.0,70.0,17.0,11.0,87.0,487.0,0.7931034482758621,0.1875,0.3,0.2,0.6666666666666666,0.00966183574879227
11,SPAIN,COSTA RICA,23 NOV 2022,17 : 00,Group E,1,7,0,7,W,3,74.0,17.0,7.0,12.0,5.0,1061.0,1003.0,17.0,2.0,8.0,5.0,276.0,233.0,34.0,22.0,46.0,185.0,0.9453345900094251,0.11764705882352941,0.4117647058823529,0.4117647058823529,1.0,0.006979062811565304
11,COSTA RICA,SPAIN,23 NOV 2022,17 : 00,Group E,1,0,7,-7,L,0,17.0,0.0,0.0,0.0,0.0,231.0,170.0,5.0,0.0,1.0,0.0,119.0,58.0,11.0,1.0,76.0,585.0,0.7359307359307359,0.0,0.0,0.0,0.0,0.0
12,BELGIUM,CANADA,23 NOV 2022,20 : 00,Group F,1,1,0,1,W,3,46.0,9.0,3.0,6.0,3.0,512.0,439.0,8.0,5.0,4.0,4.0,175.0,118.0,13.0,6.0,74.0,284.0,0.857421875,0.625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.002277904328018223
12,CANADA,BELGIUM,23 NOV 2022,20 : 00,Group F,1,0,1,-1,L,0,43.0,21.0,4.0,16.0,5.0,448.0,382.0,19.0,6.0,6.0,4.0,176.0,123.0,23.0,13.0,47.0,320.0,0.8526785714285714,0.3157894736842105,0.19047619047619047,0.0,0.0,0.0
13,SWITZERLAND,CAMEROON,24 NOV 2022,11 : 00,Group G,1,1,0,1,W,3,43.0,8.0,3.0,6.0,2.0,497.0,437.0,28.0,6.0,4.0,11.0,178.0,123.0,21.0,13.0,64.0,313.0,0.8792756539235412,0.21428571428571427,0.375,0.125,0.3333333333333333,0.002288329519450801
13,CAMEROON,SWITZERLAND,24 NOV 2022,11 : 00,Group G,1,0,1,-1,L,0,46.0,7.0,3.0,6.0,1.0,500.0,424.0,20.0,4.0,8.0,5.0,182.0,103.0,16.0,4.0,79.0,316.0,0.848,0.2,0.42857142857142855,0.0,0.0,0.0
14,URUGUAY,KOREA REPUBLIC,24 NOV 2022,14 : 00,Group H,1,0,0,0,D,1,49.0,10.0,0.0,7.0,3.0,528.0,459.0,16.0,4.0,10.0,4.0,146.0,88.0,16.0,7.0,65.0,240.0,0.8693181818181818,0.25,0.0,0.0,0.0,0.0
14,KOREA REPUBLIC,URUGUAY,24 NOV 2022,14 : 00,Group H,1,0,0,0,D,1,38.0,6.0,0.0,1.0,5.0,419.0,340.0,19.0,3.0,9.0,3.0,185.0,96.0,17.0,8.0,54.0,231.0,0.8114558472553699,0.15789473684210525,0.0,0.0,0.0,0.0
15,PORTUGAL,GHANA,24 NOV 2022,17 : 00,Group H,1,3,2,1,W,3,55.0,11.0,5.0,7.0,4.0,636.0,573.0,17.0,4.0,13.0,3.0,198.0,149.0,26.0,18.0,70.0,286.0,0.9009433962264151,0.23529411764705882,0.45454545454545453,0.2727272727272727,0.6,0.005235602094240838
15,GHANA,PORTUGAL,24 NOV 2022,17 : 00,Group H,1,2,3,-1,L,0,35.0,8.0,3.0,2.0,6.0,394.0,326.0,12.0,3.0,2.0,3.0,150.0,88.0,12.0,4.0,82.0,326.0,0.8274111675126904,0.25,0.375,0.25,0.6666666666666666,0.006134969325153374
16,BRAZIL,SERBIA,24 NOV 2022,20 : 00,Group G,1,2,0,2,W,3,53.0,24.0,10.0,11.0,13.0,585.0,526.0,19.0,3.0,6.0,6.0,184.0,134.0,16.0,10.0,72.0,236.0,0.8991452991452992,0.15789473684210525,0.4166666666666667,0.08333333333333333,0.2,0.0038022813688212928
16,SERBIA,BRAZIL,24 NOV 2022,20 : 00,Group G,1,0,2,-2,L,0,34.0,4.0,0.0,1.0,3.0,403.0,341.0,13.0,3.0,6.0,4.0,140.0,91.0,15.0,6.0,71.0,338.0,0.8461538461538461,0.23076923076923078,0.0,0.0,0.0,0.0
17,WALES,IRAN,25 NOV 2022,11 : 00,Group B,1,0,2,-2,L,0,51.0,10.0,3.0,5.0,5.0,508.0,413.0,20.0,5.0,13.0,2.0,208.0,129.0,17.0,8.0,89.0,161.0,0.812992125984252,0.25,0.3,0.0,0.0,0.0
17,IRAN,WALES,25 NOV 2022,11 : 00,Group B,1,2,0,2,W,3,33.0,21.0,6.0,7.0,14.0,295.0,202.0,26.0,4.0,5.0,7.0,185.0,92.0,24.0,10.0,84.0,276.0,0.6847457627118644,0.15384615384615385,0.2857142857142857,0.09523809523809523,0.3333333333333333,0.009900990099009901
18,QATAR,SENEGAL,25 NOV 2022,14 : 00,Group A,1,1,3,-2,L,0,42.0,10.0,2.0,4.0,6.0,424.0,353.0,18.0,5.0,12.0,6.0,174.0,117.0,13.0,7.0,67.0,308.0,0.8325471698113207,0.2777777777777778,0.2,0.1,0.5,0.0028328611898017
18,SENEGAL,QATAR,25 NOV 2022,14 : 00,Group A,1,3,1,2,W,3,48.0,12.0,4.0,10.0,2.0,511.0,445.0,20.0,6.0,9.0,7.0,184.0,113.0,19.0,9.0,67.0,232.0,0.8708414872798435,0.3,0.3333333333333333,0.25,0.75,0.006741573033707865
19,NETHERLANDS,ECUADOR,25 NOV 2022,17 : 00,Group A,1,1,1,0,D,1,48.0,2.0,1.0,0.0,2.0,524.0,451.0,8.0,0.0,6.0,2.0,168.0,115.0,9.0,4.0,85.0,254.0,0.8606870229007634,0.0,0.5,0.5,1.0,0.0022172949002217295
19,ECUADOR,NETHERLANDS,25 NOV 2022,17 : 00,Group A,1,1,1,0,D,1,39.0,13.0,5.0,8.0,5.0,425.0,345.0,22.0,4.0,2.0,5.0,155.0,84.0,22.0,10.0,52.0,279.0,0.8117647058823529,0.18181818181818182,0.38461538461538464,0.07692307692307693,0.2,0.002898550724637681
20,ENGLAND,UNITED STATES,25 NOV 2022,20 : 00,Group B,1,0,0,0,D,1,51.0,8.0,3.0,6.0,2.0,550.0,488.0,13.0,4.0,9.0,3.0,208.0,147.0,23.0,10.0,52.0,266.0,0.8872727272727273,0.3076923076923077,0.375,0.0,0.0,0.0
20,UNITED STATES,ENGLAND,25 NOV 2022,20 : 00,Group B,1,0,0,0,D,1,40.0,10.0,2.0,6.0,4.0,427.0,368.0,16.0,2.0,2.0,7.0,143.0,88.0,15.0,5.0,61.0,350.0,0.8618266978922716,0.125,0.2,0.0,0.0,0.0
21,TUNISIA,AUSTRALIA,26 NOV 2022,11 : 00,Group D,1,0,1,-1,L,0,50.0,13.0,4.0,9.0,4.0,501.0,396.0,23.0,5.0,6.0,5.0,200.0,109.0,23.0,11.0,81.0,217.0,0.7904191616766467,0.21739130434782608,0.3076923076923077,0.0,0.0,0.0
21,AUSTRALIA,TUNISIA,26 NOV 2022,11 : 00,Group D,1,1,0,1,W,3,31.0,8.0,2.0,5.0,3.0,334.0,239.0,23.0,4.0,2.0,2.0,171.0,91.0,19.0,10.0,88.0,273.0,0.7155688622754491,0.17391304347826086,0.25,0.125,0.5,0.0041841004184100415
22,POLAND,SAUDI ARABIA,26 NOV 2022,14 : 00,Group C,1,2,0,2,W,3,30.0,8.0,3.0,8.0,0.0,303.0,236.0,19.0,8.0,5.0,4.0,150.0,84.0,22.0,12.0,69.0,329.0,0.7788778877887789,0.42105263157894735,0.375,0.25,0.6666666666666666,0.00847457627118644
22,SAUDI ARABIA,POLAND,26 NOV 2022,14 : 00,Group C,1,0,2,-2,L,0,57.0,16.0,5.0,9.0,7.0,560.0,494.0,24.0,4.0,13.0,5.0,205.0,153.0,27.0,19.0,53.0,173.0,0.8821428571428571,0.16666666666666666,0.3125,0.0,0.0,0.0
23,FRANCE,DENMARK,26 NOV 2022,17 : 00,Group D,1,2,1,1,W,3,44.0,21.0,6.0,16.0,5.0,503.0,437.0,23.0,12.0,7.0,6.0,155.0,105.0,16.0,12.0,79.0,269.0,0.8687872763419483,0.5217391304347826,0.2857142857142857,0.09523809523809523,0.3333333333333333,0.004576659038901602
23,DENMARK,FRANCE,26 NOV 2022,17 : 00,Group D,1,1,2,-1,L,0,44.0,10.0,2.0,5.0,5.0,537.0,473.0,18.0,4.0,14.0,4.0,173.0,132.0,23.0,15.0,61.0,282.0,0.8808193668528864,0.2222222222222222,0.2,0.1,0.5,0.0021141649048625794
24,ARGENTINA,MEXICO,26 NOV 2022,20 : 00,Group C,1,2,0,2,W,3,50.0,5.0,2.0,2.0,3.0,533.0,464.0,14.0,2.0,3.0,4.0,150.0,100.0,10.0,5.0,63.0,220.0,0.8705440900562852,0.14285714285714285,0.4,0.4,1.0,0.004310344827586207
24,MEXICO,ARGENTINA,26 NOV 2022,20 : 00,Group C,1,0,2,-2,L,0,36.0,4.0,1.0,1.0,3.0,356.0,287.0,17.0,4.0,2.0,2.0,127.0,66.0,13.0,5.0,79.0,327.0,0.8061797752808989,0.23529411764705882,0.25,0.0,0.0,0.0
25,JAPAN,COSTA RICA,27 NOV 2022,11 : 00,Group E,1,0,1,-1,L,0,48.0,14.0,3.0,7.0,7.0,575.0,510.0,17.0,1.0,2.0,5.0,158.0,95.0,22.0,7.0,47.0,300.0,0.8869565217391304,0.058823529411764705,0.21428571428571427,0.0,0.0,0.0
25,COSTA RICA,JAPAN,27 NOV 2022,11 : 00,Group E,1,1,0,1,W,3,39.0,4.0,1.0,1.0,3.0,444.0,371.0,5.0,0.0,7.0,0.0,154.0,85.0,4.0,0.0,66.0,294.0,0.8355855855855856,0.0,0.25,0.25,1.0,0.0026954177897574125
26,BELGIUM,MOROCCO,27 NOV 2022,14 : 00,Group F,1,0,2,-2,L,0,56.0,10.0,4.0,5.0,5.0,671.0,598.0,19.0,3.0,6.0,9.0,149.0,104.0,13.0,3.0,38.0,194.0,0.8912071535022354,0.15789473684210525,0.4,0.0,0.0,0.0
26,MOROCCO,BELGIUM,27 NOV 2022,14 : 00,Group F,1,2,0,2,W,3,32.0,11.0,4.0,6.0,5.0,317.0,275.0,9.0,4.0,10.0,1.0,125.0,89.0,11.0,8.0,78.0,360.0,0.8675078864353313,0.4444444444444444,0.36363636363636365,0.18181818181818182,0.5,0.007272727272727273
27,CROATIA,CANADA,27 NOV 2022,17 : 00,Group F,1,4,1,3,W,3,41.0,13.0,10.0,9.0,4.0,462.0,391.0,22.0,5.0,6.0,5.0,193.0,124.0,24.0,10.0,87.0,347.0,0.8463203463203464,0.22727272727272727,0.7692307692307693,0.3076923076923077,0.4,0.010230179028132993
27,CANADA,CROATIA,27 NOV 2022,17 : 00,Group F,1,1,4,-3,L,0,46.0,9.0,2.0,2.0,7.0,511.0,434.0,15.0,5.0,7.0,2.0,201.0,134.0,15.0,6.0,72.0,316.0,0.8493150684931506,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.5,0.002304147465437788
28,SPAIN,GERMANY,27 NOV 2022,20 : 00,Group E,1,1,1,0,D,1,56.0,7.0,3.0,3.0,4.0,647.0,565.0,9.0,2.0,9.0,6.0,186.0,146.0,19.0,13.0,79.0,275.0,0.8732612055641422,0.2222222222222222,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.0017699115044247787
28,GERMANY,SPAIN,27 NOV 2022,20 : 00,Group E,1,1,1,0,D,1,33.0,10.0,4.0,7.0,3.0,352.0,281.0,13.0,1.0,2.0,5.0,143.0,83.0,17.0,7.0,101.0,387.0,0.7982954545454546,0.07692307692307693,0.4,0.1,0.25,0.0035587188612099642
29,CAMEROON,SERBIA,28 NOV 2022,11 : 00,Group G,1,3,3,0,D,1,38.0,13.0,8.0,9.0,4.0,364.0,271.0,20.0,1.0,5.0,4.0,173.0,78.0,22.0,12.0,83.0,285.0,0.7445054945054945,0.05,0.6153846153846154,0.23076923076923078,0.375,0.01107011070110701
29,SERBIA,CAMEROON,28 NOV 2022,11 : 00,Group G,1,3,3,0,D,1,49.0,16.0,6.0,11.0,5.0,513.0,433.0,23.0,4.0,5.0,3.0,184.0,122.0,22.0,12.0,81.0,234.0,0.8440545808966862,0.17391304347826086,0.375,0.1875,0.5,0.006928406466512702
30,KOREA REPUBLIC,GHANA,28 NOV 2022,14 : 00,Group H,1,2,3,-1,L,0,53.0,21.0,6.0,15.0,6.0,540.0,477.0,46.0,16.0,16.0,12.0,201.0,148.0,24.0,19.0,53.0,220.0,0.8833333333333333,0.34782608695652173,0.2857142857142857,0.09523809523809523,0.3333333333333333,0.0041928721174004195
30,GHANA,KOREA REPUBLIC,28 NOV 2022,14 : 00,Group H,1,3,2,1,W,3,32.0,8.0,3.0,7.0,1.0,319.0,260.0,13.0,4.0,3.0,5.0,122.0,66.0,12.0,5.0,75.0,324.0,0.8150470219435737,0.3076923076923077,0.375,0.375,1.0,0.011538461538461539
31,BRAZIL,SWITZERLAND,28 NOV 2022,17 : 00,Group G,1,1,0,1,W,3,51.0,9.0,5.0,6.0,3.0,565.0,498.0,26.0,3.0,6.0,8.0,164.0,114.0,20.0,11.0,85.0,282.0,0.8814159292035398,0.11538461538461539,0.5555555555555556,0.1111111111111111,0.2,0.002008032128514056
31,SWITZERLAND,BRAZIL,28 NOV 2022,17 : 00,Group G,1,0,1,-1,L,0,40.0,4.0,0.0,2.0,2.0,488.0,415.0,11.0,3.0,2.0,3.0,173.0,100.0,17.0,4.0,80.0,344.0,0.8504098360655737,0.2727272727272727,0.0,0.0,0.0,0.0
32,PORTUGAL,URUGUAY,28 NOV 2022,20 : 00,Group H,1,2,0,2,W,3,53.0,14.0,4.0,4.0,10.0,596.0,517.0,16.0,4.0,9.0,6.0,170.0,112.0,11.0,7.0,68.0,226.0,0.8674496644295302,0.25,0.2857142857142857,0.14285714285714285,0.5,0.0038684719535783366
