points_rank,team,matches,wins,draws,losses,points,goals_for,goals_against,goal_diff,max_stage_order,avg_possession,avg_total_attempts,avg_on_target_attempts,avg_passes_completed,avg_pass_completion_rate,avg_corners,avg_completed_line_breaks,avg_forced_turnovers,avg_defensive_pressures,avg_goals_per_attempt,avg_goals_per_on_target,avg_shot_accuracy,stage_reached,outcome_pagerank,outcome_pagerank_rank,stat_pagerank,stat_pagerank_rank,outcome_out_degree,outcome_in_degree,outcome_out_strength,outcome_in_strength,outcome_net_strength,stat_out_degree,stat_in_degree,stat_out_strength,stat_in_strength,stat_received_minus_dominant,offensive_out_degree,offensive_in_degree,offensive_out_strength,offensive_in_strength,offensive_received_minus_efficient,pressure_out_degree,pressure_in_degree,pressure_out_strength,pressure_in_strength,pressure_received_minus_recovery,style_community,style_community_label,stat_net_dominance,offensive_net_efficiency,pressure_net_recovery
1,FRANCE,7,5,1,1,16,16,8,8,6,44.857142857142854,14.428571428571429,5.0,456.0,0.8678088947931589,5.428571428571429,103.0,74.85714285714286,283.7142857142857,0.16137652030509173,0.47619047619047616,0.3675917336631622,Final,0.09495018099191514,2,0.05168346057063963,6,2,6,4.0,16.0,12.0,5,2,2.4296427436816566,0.6727317557218644,-1.7569109879597922,5,2,2.9596318621837203,0.9889220632964675,-1.9707097988872528,5,2,3.0198267101590606,0.38980820557777285,-2.6300185045812876,3,GERMANY,1.7569109879597922,1.9707097988872528,2.6300185045812876
2,ARGENTINA,7,4,2,1,14,15,8,7,6,51.142857142857146,14.857142857142858,6.857142857142857,548.7142857142857,0.8721791421483385,5.571428571428571,130.57142857142858,70.57142857142857,241.14285714285714,0.1814965986394558,0.4022501308215594,0.46204081632653055,Final,0.12083368546280562,1,0.08960646243476231,2,3,6,5.0,14.0,9.0,7,0,3.6228944458818293,0.0,-3.6228944458818293,3,4,3.841234633718488,3.2759824623002385,-0.5652521714182495,1,6,0.835865891273872,5.89714263192852,5.061276740654648,3,GERMANY,3.6228944458818293,0.5652521714182495,-5.061276740654648
3,NETHERLANDS,5,3,2,0,11,10,4,6,3,45.0,8.0,3.2,488.4,0.8618146956831685,3.8,120.2,82.4,310.0,0.3097591297591298,0.7333333333333333,0.41729603729603726,Quarter-final,0.04887643516116587,6,0.021290906494142687,17,2,5,2.0,11.0,9.0,1,4,0.6053405617816391,0.7901674386693442,0.18482687688770516,5,0,4.062691967421974,0.0,-4.062691967421974,5,0,2.907264920756852,0.0,-2.907264920756852,1,COSTA RICA,-0.18482687688770516,4.062691967421974,2.907264920756852
4,MOROCCO,7,3,2,2,11,6,5,1,5,34.857142857142854,8.714285714285714,2.4285714285714284,317.0,0.8122506391653272,1.7142857142857142,85.14285714285714,77.71428571428571,359.42857142857144,0.1030715316429602,0.3333333333333333,0.29933162076019215,Third-place match,0.03256847701707857,11,0.014942511546077146,25,3,5,8.0,11.0,3.0,0,6,0.0,1.6930563280074036,1.6930563280074036,4,2,3.134054203157942,1.3251435909660592,-1.8089106121918828,5,2,7.780002604998341,1.2109446629169984,-6.569057942081343,1,COSTA RICA,-1.6930563280074036,1.8089106121918828,6.569057942081343
5,ENGLAND,5,3,1,1,10,13,4,9,3,57.8,12.0,5.4,544.6,0.8914120708694735,5.0,138.6,56.0,199.0,0.21688752424046545,0.4404761904761904,0.450759534583064,Quarter-final,0.02237696582171919,20,0.10533605901382345,1,2,4,4.0,10.0,6.0,5,0,2.406815992629704,0.0,-2.406815992629704,4,1,3.0363355919677546,0.672429744751651,-2.3639058472161034,0,5,0.0,3.3884921625274504,3.3884921625274504,4,PORTUGAL,2.406815992629704,2.3639058472161034,-3.3884921625274504
6,BRAZIL,5,3,1,1,10,8,3,5,3,50.4,18.0,8.2,539.2,0.8956849215891328,7.4,131.8,72.2,295.4,0.09333333333333332,0.18707070707070708,0.4676023391812866,Quarter-final,0.02979806314145652,12,0.08472548488191438,3,2,4,4.0,10.0,6.0,5,0,2.802735593887235,0.0,-2.802735593887235,3,2,2.251695421920168,0.8016583857247973,-1.4500370361953707,0,5,0.0,2.0042062978449597,2.0042062978449597,3,GERMANY,2.802735593887235,1.4500370361953707,-2.0042062978449597
7,CROATIA,7,2,4,1,10,8,7,1,5,48.0,11.571428571428571,4.0,532.0,0.8710744471811881,4.285714285714286,136.28571428571428,78.28571428571429,301.85714285714283,0.08916579452293738,0.3071428571428571,0.33757512328940903,Third-place match,0.03550965227790894,9,0.04891747608218798,7,5,5,7.0,10.0,3.0,3,3,1.1918666805371567,0.5251658151905254,-0.6667008653466313,4,2,1.5926537053873566,1.6966121029818517,0.1039583975944951,3,4,0.9748561221878084,2.588179708470462,1.6133235862826538,2,DENMARK,0.6667008653466313,-0.1039583975944951,-1.6133235862826538
8,PORTUGAL,5,3,0,2,9,12,6,6,3,54.2,12.4,5.0,523.0,0.8769228112751547,5.6,120.0,60.6,253.4,0.18549783549783547,0.4033333333333333,0.3978354978354978,Quarter-final,0.027471786986650384,13,0.052561376013777,5,2,3,6.0,9.0,3.0,5,0,1.5943146806754522,0.0,-1.5943146806754522,3,2,2.1547577219006873,1.2522893216120043,-0.9024684002886829,1,4,0.8829155402941053,3.8170870274534043,2.9341714871592988,4,PORTUGAL,1.5943146806754522,0.9024684002886829,-2.9341714871592988
9,JAPAN,4,2,1,1,7,5,4,1,2,29.75,10.5,3.25,324.5,0.8001194202397548,4.75,84.5,79.75,457.25,0.15416666666666667,0.3958333333333333,0.3369047619047619,Round of 16,0.03353289396044952,10,0.016718815672661237,21,2,3,4.0,7.0,3.0,1,3,0.4538177355182489,1.3661662922992657,0.9123485567810168,3,1,2.3205975454004806,1.040291529354358,-1.2803060160461226,3,1,5.021012285824153,0.5228004129421355,-4.498211872882017,1,COSTA RICA,-0.9123485567810168,1.2803060160461226,4.498211872882017
10,SENEGAL,4,2,0,2,6,5,7,-2,2,39.75,12.75,3.5,319.0,0.8095956766701359,5.5,93.0,66.5,269.25,0.09583333333333333,0.2875,0.2702380952380952,Round of 16,0.02309304508895994,19,0.037671508334101905,8,2,2,6.0,6.0,0.0,3,1,0.5573315203936402,0.21068602550413154,-0.3466454948895087,2,2,0.9511453007207427,2.5503510798084066,1.599205779087664,2,2,1.035582409563235,0.5029977906565737,-0.5325846189066614,1,COSTA RICA,0.3466454948895087,-1.599205779087664,0.5325846189066614
11,AUSTRALIA,4,2,0,2,6,4,6,-2,2,31.25,6.25,2.25,301.5,0.7680762146884837,2.0,87.0,76.75,345.75,0.175,0.5625,0.35,Round of 16,0.05467297458901085,5,0.014942511546077146,25,2,2,6.0,6.0,0.0,0,4,0.0,2.573947734896849,2.573947734896849,4,0,1.675741834333281,0.0,-1.675741834333281,3,1,2.3523036676927025,0.004785853006547908,-2.3475178146861544,1,COSTA RICA,-2.573947734896849,1.675741834333281,2.3475178146861544
12,SWITZERLAND,4,2,0,2,6,5,9,-4,2,43.0,9.0,2.75,403.25,0.8469249007230852,5.0,106.25,70.0,287.5,0.10982142857142857,0.44047619047619047,0.24375,Round of 16,0.024193042193982963,17,0.018737532753166662,19,2,2,6.0,6.0,0.0,2,2,0.28234441505792973,0.9674391464491593,0.6850947313912296,2,2,0.7579505764230501,2.425077689674507,1.6671271132514571,2,2,0.2180727596753891,1.321900696456098,1.103827936780709,1,COSTA RICA,-0.6850947313912296,-1.6671271132514571,-1.103827936780709
13,SPAIN,4,1,2,1,5,9,3,6,2,69.0,12.75,4.0,881.75,0.9186532761488166,5.25,169.25,60.0,206.75,0.1565126050420168,0.3833333333333333,0.3186005171299289,Round of 16,0.02342157479599923,18,0.05384164056700723,4,3,3,5.0,5.0,0.0,4,0,2.567843981707868,0.0,-2.567843981707868,2,2,1.908558233258731,1.7447732167161656,-0.1637850165425654,0,4,0.0,8.084602297884292,8.084602297884292,2,DENMARK,2.567843981707868,0.1637850165425654,-8.084602297884292
14,UNITED STATES,4,1,2,1,5,3,4,-1,2,47.5,11.5,3.75,444.25,0.8735021182658724,5.5,123.25,73.25,287.5,0.07638888888888888,0.33571428571428574,0.29305555555555557,Round of 16,0.01335699236610655,24,0.02984891250574378,10,3,3,5.0,5.0,0.0,3,1,1.1187779161003344,0.060190555085850236,-1.0585873610144843,2,2,0.48165242841346645,1.1968809006804133,0.7152284722669469,3,1,0.968124052985927,0.9201809833498129,-0.047943069636114055,2,DENMARK,1.0585873610144843,-0.7152284722669469,0.047943069636114055
15,GERMANY,3,1,1,1,4,6,5,1,1,52.666666666666664,22.333333333333332,8.0,561.6666666666666,0.8712029905015194,8.333333333333334,142.33333333333334,77.66666666666667,260.3333333333333,0.08833333333333333,0.24158249158249157,0.36791666666666667,Group Stage,0.01974667367278353,21,0.027805161962342617,11,2,2,4.0,4.0,0.0,2,1,2.1444705209033885,0.08682076355345399,-2.0576497573499344,0,3,0.0,1.5537986180862302,1.5537986180862302,1,2,1.0088883431122189,2.5698765920722937,1.5609882489600748,3,GERMANY,2.0576497573499344,-1.5537986180862302,-1.5609882489600748
16,ECUADOR,3,1,1,1,4,4,3,1,1,46.666666666666664,9.0,4.0,369.0,0.8269925562817719,3.6666666666666665,86.66666666666667,61.0,249.33333333333334,0.17841880341880342,0.37222222222222223,0.4615384615384615,Group Stage,0.02678810994348278,14,0.023221874525699956,15,2,2,4.0,4.0,0.0,2,1,0.5760073239162746,0.3128955676468236,-0.26311175626945105,1,2,1.5720506141752655,1.3593580526010896,-0.21269256157417593,1,2,0.6497728863518447,1.1241303943620686,0.4743575080102239,1,COSTA RICA,0.26311175626945105,0.21269256157417593,-0.4743575080102239
17,CAMEROON,3,1,1,1,4,4,4,0,1,38.333333333333336,9.0,4.666666666666667,311.3333333333333,0.8008916620103061,4.0,91.0,80.0,307.3333333333333,0.12454212454212454,0.23611111111111108,0.4908424908424909,Group Stage,0.02489535063974035,16,0.014942511546077146,25,2,2,4.0,4.0,0.0,0,3,0.0,0.9812354715805441,0.9812354715805441,2,1,1.1492042845553718,0.4032401880542066,-0.7459640965011652,3,0,1.677570431133745,0.0,-1.677570431133745,1,COSTA RICA,-0.9812354715805441,0.7459640965011652,1.677570431133745
18,URUGUAY,3,1,1,1,4,2,2,0,1,41.0,10.666666666666666,3.3333333333333335,375.3333333333333,0.8211168689307703,2.6666666666666665,99.33333333333333,76.66666666666667,298.3333333333333,0.05555555555555555,0.09523809523809523,0.29444444444444445,Group Stage,0.011898444755708943,25,0.023605492194420506,14,2,2,4.0,4.0,0.0,2,1,0.45617680827298207,0.11908557510223447,-0.33709123317074763,2,1,0.7992033278584834,0.6367776813421756,-0.16242564651630775,2,1,1.1780183625598986,0.0760303919988084,-1.1019879705610902,1,COSTA RICA,0.33709123317074763,0.16242564651630775,1.1019879705610902
19,TUNISIA,3,1,1,1,4,1,1,0,1,37.666666666666664,9.666666666666666,2.6666666666666665,321.3333333333333,0.7939188428462293,7.0,96.66666666666667,74.0,301.3333333333333,0.06666666666666667,0.1111111111111111,0.3328671328671329,Group Stage,0.06752995071779243,3,0.01662650349433998,24,2,2,4.0,4.0,0.0,1,2,0.341269290046716,0.6699836943293735,0.3287144042826575,1,2,0.9140253158964358,0.8700994079199743,-0.043925907976461454,2,1,0.44987528269382904,0.3900955409221405,-0.059779741771688544,1,COSTA RICA,-0.3287144042826575,0.043925907976461454,0.059779741771688544
20,MEXICO,3,1,1,1,4,2,3,-1,1,48.333333333333336,14.0,5.0,348.3333333333333,0.8306056162156428,5.333333333333333,101.33333333333333,72.0,249.66666666666666,0.02666666666666667,0.06666666666666667,0.31923076923076926,Group Stage,0.03783815265600694,8,0.024288083376354005,13,2,2,4.0,4.0,0.0,2,1,1.3901409597517553,0.1201302705195371,-1.2700106892322183,2,1,0.25976253401522886,1.4415853122750255,1.1818227782597965,1,2,0.8204024116869177,0.8935931668745118,0.0731907551875941,3,GERMANY,1.2700106892322183,-1.1818227782597965,-0.0731907551875941
21,BELGIUM,3,1,1,1,4,1,2,-1,1,49.666666666666664,11.333333333333334,3.6666666666666665,522.6666666666666,0.8798562086058905,5.666666666666667,112.33333333333333,60.0,274.6666666666667,0.037037037037037035,0.1111111111111111,0.3333333333333333,Group Stage,0.010327511348037607,27,0.021150096710375356,18,2,2,4.0,4.0,0.0,2,1,0.0807734771026356,0.24390744102522213,0.16313396392258653,1,2,0.5908639543862478,0.9385343073029513,0.34767035291670345,2,1,0.6536121937546545,1.7066574240880352,1.0530452303333808,4,PORTUGAL,-0.16313396392258653,-0.34767035291670345,-1.0530452303333808
22,POLAND,4,1,1,2,4,3,5,-2,2,31.75,7.75,1.75,282.25,0.794866249724668,2.75,82.25,67.5,338.5,0.08522727272727273,0.25,0.19318181818181818,Round of 16,0.040910996263419194,7,0.014942511546077146,25,3,2,7.0,4.0,-3.0,0,4,0.0,2.8724940556076164,2.8724940556076164,1,3,1.180798541054161,1.5893458740493918,0.4085473329952307,4,0,3.1848832118474197,0.0,-3.1848832118474197,1,COSTA RICA,-2.8724940556076164,-0.4085473329952307,3.1848832118474197
23,KOREA REPUBLIC,4,1,1,2,4,5,8,-3,2,42.25,12.25,4.5,401.75,0.857111787959733,6.0,117.0,60.5,284.75,0.09047619047619047,0.20833333333333331,0.3464285714285714,Round of 16,0.01889142897992314,23,0.021792910853647894,16,3,2,7.0,4.0,-3.0,1,3,0.79399542501709,0.7472939160665468,-0.04670150895054315,1,3,0.5685925722576132,1.6560474045408486,1.0874548322832354,2,2,0.8349724706579915,1.3267396744505033,0.4917672037925118,4,PORTUGAL,0.04670150895054315,-1.0874548322832354,-0.4917672037925118
24,GHANA,3,1,0,2,3,5,7,-2,1,37.666666666666664,8.333333333333334,3.3333333333333335,321.0,0.8206744689491895,4.333333333333333,88.33333333333333,83.0,299.3333333333333,0.20833333333333334,0.5555555555555555,0.39814814814814814,Group Stage,0.011569377699833126,26,0.014942511546077146,25,2,1,6.0,3.0,-3.0,0,3,0.0,1.4721248327557206,1.4721248327557206,1,2,1.1919227015439855,0.8323894869008734,-0.35953321464311205,3,0,1.53652773404876,0.0,-1.53652773404876,1,COSTA RICA,-1.4721248327557206,0.35953321464311205,1.53652773404876
25,SAUDI ARABIA,3,1,0,2,3,3,5,-2,1,36.666666666666664,9.666666666666666,3.0,293.6666666666667,0.7523510024446353,2.6666666666666665,102.33333333333333,71.66666666666667,267.6666666666667,0.25555555555555554,0.5,0.39305555555555555,Group Stage,0.06631267958599114,4,0.016707877116889647,22,2,1,6.0,3.0,-3.0,1,2,0.3992558288949275,1.7655989599719102,1.3663431310769827,1,2,1.922792569521064,1.248354201093467,-0.674438368427597,2,1,1.4077684194072897,0.9866396693355255,-0.4211287500717642,1,COSTA RICA,-1.3663431310769827,0.674438368427597,0.4211287500717642
26,IRAN,3,1,0,2,3,4,7,-3,1,31.333333333333332,11.666666666666666,3.6666666666666665,245.0,0.7302734255835804,2.6666666666666665,79.66666666666667,73.0,329.0,0.11507936507936507,0.3333333333333333,0.33134920634920634,Group Stage,0.007222268741529264,29,0.016751695316708268,20,2,1,6.0,3.0,-3.0,1,2,0.1971394691700143,1.5064499105511877,1.3093104413811734,1,2,0.7873831629691281,0.7433067052641203,-0.04407645770500779,2,1,1.4442466918228316,0.3382069139075016,-1.10603977791533,1,COSTA RICA,-1.3093104413811734,0.04407645770500779,1.10603977791533
27,COSTA RICA,3,1,0,2,3,3,11,-8,1,27.666666666666668,4.0,2.3333333333333335,270.0,0.7822441532816172,0.3333333333333333,82.0,73.66666666666667,419.0,0.16666666666666666,0.4444444444444444,0.3333333333333333,Group Stage,0.026064719899834176,15,0.014942511546077146,25,2,1,6.0,3.0,-3.0,0,3,0.0,3.2449399591037498,3.2449399591037498,2,1,1.6876234815064515,1.8667450789759854,0.17912159746953393,3,0,3.2967326660024,0.0,-3.2967326660024,1,COSTA RICA,-3.2449399591037498,-0.17912159746953393,3.2967326660024
28,DENMARK,3,0,1,2,1,1,3,-2,1,53.0,11.666666666666666,3.0,521.0,0.8778661465439864,7.0,146.66666666666666,70.33333333333333,223.0,0.03333333333333333,0.16666666666666666,0.2593073593073593,Group Stage,0.01903761452752057,22,0.02747477403437845,12,3,1,7.0,1.0,-6.0,2,1,1.0698433391849096,0.4365900047206471,-0.6332533344642626,1,2,0.28693083579180834,0.9879293644664586,0.7009985286746503,0,3,0.0,1.6597140250435167,1.6597140250435167,2,DENMARK,0.6332533344642626,-0.7009985286746503,-1.6597140250435167
29,SERBIA,3,0,1,2,1,5,8,-3,1,42.666666666666664,10.333333333333334,3.3333333333333335,388.0,0.836512052714323,3.0,102.66666666666667,75.33333333333333,282.6666666666667,0.12310606060606061,0.3333333333333333,0.24621212121212122,Group Stage,0.00997776201094968,28,0.016679512535555593,23,3,1,7.0,1.0,-6.0,1,2,0.1341932835124876,0.9741845377181262,0.8399912542056386,0,3,0.0,1.6538966553326624,1.6538966553326624,1,2,0.31745774601820165,0.38086429524126986,0.06340654922306821,1,COSTA RICA,-0.8399912542056386,-1.6538966553326624,-0.06340654922306821
30,WALES,3,0,1,2,1,1,6,-5,1,41.0,8.0,2.3333333333333335,331.6666666666667,0.800303374951932,2.0,95.66666666666667,70.0,260.3333333333333,0.047619047619047616,0.1111111111111111,0.2904761904761905,Group Stage,0.0069581887022377095,30,0.014942511546077146,25,3,1,7.0,1.0,-6.0,0,3,0.0,1.3839915080857768,1.3839915080857768,0,3,0.0,1.87376183341164,1.87376183341164,1,2,0.3460980286645514,0.33486744180048955,-0.011230586864061864,1,COSTA RICA,-1.3839915080857768,-1.87376183341164,0.011230586864061864
31,CANADA,3,0,0,3,0,2,7,-5,1,47.0,11.666666666666666,2.0,429.3333333333333,0.859229790920104,4.0,116.0,61.666666666666664,286.6666666666667,0.1037037037037037,0.16666666666666666,0.13756613756613756,Group Stage,0.004687500000000001,31,0.033416290186742276,9,3,0,9.0,0.0,-9.0,2,1,0.31005023296486334,0.5186692404871631,0.20861900752229978,0,3,0.0,2.9419068018698935,2.9419068018698935,0,3,0.0,1.694480291620235,1.694480291620235,1,COSTA RICA,-0.20861900752229978,-2.9419068018698935,-1.694480291620235
32,QATAR,3,0,0,3,0,1,7,-6,1,40.666666666666664,7.0,2.0,376.0,0.8458672120140859,3.0,103.33333333333333,57.0,295.3333333333333,0.03333333333333333,0.16666666666666666,0.2888888888888889,Group Stage,0.004687500000000001,31,0.014942511546077146,25,3,0,9.0,0.0,-9.0,0,3,0.0,1.2110954259407132,1.2110954259407132,0,3,0.0,2.4723658603851733,2.4723658603851733,1,2,0.25783737921008565,0.9254666716521587,0.667629292442073,1,COSTA RICA,-1.2110954259407132,-2.4723658603851733,-0.667629292442073
